"Not \"wrong\", a Lie. And media rarely calls it for what it is."|Not  wrong   a Lie  And media rarely calls it for what it is|0.275
7/ Agalarov is FAR CLOSER to Vladimir Putin than Trump's partner in the Trump-Rozov deal, Andrey Rozov. Agalarov is Putin's top real estate developer, and was awarded Russia's highest civilian award directly from Putin's hand—two weeks before Trump and Agalarov signed their deal.|7  Agalarov is FAR CLOSER to Vladimir Putin than Trump s partner in the Trump Rozov deal  Andrey Rozov  Agalarov is Putin s top real estate developer  and was awarded Russia s highest civilian award directly from Putin s hand two weeks before Trump and Agalarov signed their deal|0.225
BREAKING: ACA enrollment down 10% so far with Trump marketing budget down 90%.  The good news: Most can get covered for $75/month no matter pre-existing conditions.   The problem: almost no one knows that after Dec 15 it will be too late to get covered.  https://t.co/qMJsC3POpl|BREAKING  ACA enrollment down 10  so far with Trump marketing budget down 90    The good news  Most can get covered for  75 month no matter pre existing conditions    The problem  almost no one knows that after Dec 15 it will be too late to get covered|0.11481481481481481
so after all those baseless assertions about 2016 voter fraud from Trump, Kobach and other GOP pols, biggest instance of 2018 fraud appears to have occurred on behalf of conservative GOP pastor-candidate whose campaign hired a felon who stole ballots from elderly black Dem voters https://t.co/JvdHXjWrlZ|so after all those baseless assertions about 2016 voter fraud from Trump  Kobach and other GOP pols  biggest instance of 2018 fraud appears to have occurred on behalf of conservative GOP pastor candidate whose campaign hired a felon who stole ballots from elderly black Dem voters|-0.14583333333333331
BREAKING: DC, Maryland attorneys general to subpoena Trump Organization, IRS, other entities in emoluments lawsuit against Trump.|BREAKING  DC  Maryland attorneys general to subpoena Trump Organization  IRS  other entities in emoluments lawsuit against Trump|-0.03749999999999999
"\"The subpoenas target more than 30 Trump-linked private entities and the federal agency that oversees the lease for Trump's D.C. hotel, plus multiple federal agencies.\" https://t.co/uGeeFQTJCn"|The subpoenas target more than 30 Trump linked private entities and the federal agency that oversees the lease for Trump s D C  hotel  plus multiple federal agencies|0.16666666666666666
BREAKING:  DC and Maryland Attorney Generals are filing subpoenas seeking official records from the IRS, the Trump Organization and many other organizations in their investigation against Donald Trump.    It looks like Trump's Tax Returns will be had!!   Give me a HELL YEAH!|BREAKING   DC and Maryland Attorney Generals are filing subpoenas seeking official records from the IRS  the Trump Organization and many other organizations in their investigation against Donald Trump     It looks like Trump s Tax Returns will be had     Give me a HELL YEAH|0.1875
"BREAKING:  Lindsey Graham on Saudi Crown Prince's role in the Khashoggi murder:  \"There is no smoking gun, there is a smoking saw\".   Then do something about it @LindseyGrahamSC! Stop sucking up to Trump and DO Something!"|BREAKING   Lindsey Graham on Saudi Crown Prince s role in the Khashoggi murder    There is no smoking gun  there is a smoking saw     Then do something about it    Stop sucking up to Trump and DO Something|0.0
Just days after crying that kid rock cold her a bitch, Joy Behar throws tantrum, calls Meghan McCain an entitled bitch and threatens to quit the show. These people are so enraged all the time. That's the left. Trump has mentally broken them|Just days after crying that kid rock cold her a bitch  Joy Behar throws tantrum  calls Meghan McCain an entitled bitch and threatens to quit the show  These people are so enraged all the time  That s the left  Trump has mentally broken them|-0.08
Three Mar-a-Lago club members friendly with Trump were given unprecedented access to confidential documents and shaped policy for the VA  including access to review a $10 billion government contract to overhaul electronic health records for veterans  https://t.co/nBTNtmfE3j|Three Mar a Lago club members friendly with Trump were given unprecedented access to confidential documents and shaped policy for the VA  including access to review a  10 billion government contract to overhaul electronic health records for veterans|0.4875
Uhm excuse me?! There’s a woman sitting in jail and sentenced to 8 YEARS for doing the same thing. What is WRONG a with our justice system?! https://t.co/4hPSjmzI49|Uhm excuse me   There s a woman sitting in jail and sentenced to 8 YEARS for doing the same thing  What is WRONG a with our justice system|-0.1625
Mohammed bin Salman ordered the murder of Jamal Khashoggi.  Democratic AND Republican Senators agree on this.  The fact @realDonaldTrump does not, tells you everything you need to know.  To this President, personal financial gain trumps American values. https://t.co/I7nA9vXWn7|Mohammed bin Salman ordered the murder of Jamal Khashoggi   Democratic AND Republican Senators agree on this   The fact   does not  tells you everything you need to know   To this President  personal financial gain trumps American values|0.0
@WSJ @AlanDersh Trump can respond in court like any other criminal that gets the chance to.|Trump can respond in court like any other criminal that gets the chance to|-0.2625
@RealJamesWoods Trump: +1 Obama: 0|Trump   1 Obama  0|0.0
Bush family had to assure Trump they wouldn't focus on him at funeral: The Bush family contacted the Trump White House to communicate that “the focus would be on Bush’s life rather than their disagreements” at the funeral. https://t.co/Hjl967Z3SU|Bush family had to assure Trump they wouldn t focus on him at funeral  The Bush family contacted the Trump White House to communicate that  the focus would be on Bush s life rather than their disagreements  at the funeral|0.0
We’re on a crash course toward environmental &amp; financial disaster – and @realDonaldTrump’s EPA acting director is doing everything he can to keep us on this track. The Trump admin needs to get their heads out of the sand. https://t.co/BUzv16JtOn|We re on a crash course toward environmental  amp  financial disaster   and   s EPA acting director is doing everything he can to keep us on this track  The Trump admin needs to get their heads out of the sand|0.0
There are riots in socialist France because of radical leftist fuel taxes  Media barely mentioning this  America is booming, Europe is burning   They want to cover up the middle class rebellion against cultural Marxism  “We want Trump” being chanted through the streets of Paris|There are riots in socialist France because of radical leftist fuel taxes  Media barely mentioning this  America is booming  Europe is burning   They want to cover up the middle class rebellion against cultural Marxism   We want Trump  being chanted through the streets of Paris|0.025
The D.C. and Maryland attorneys general plan to file subpoenas seeking records from the Trump Organization, the IRS and dozens of other entities in their lawsuit accusing Trump of profiting off the presidency, AP reports. https://t.co/YQjSpyzksL|The D C  and Maryland attorneys general plan to file subpoenas seeking records from the Trump Organization  the IRS and dozens of other entities in their lawsuit accusing Trump of profiting off the presidency  AP reports|-0.03749999999999999
BREAKING:  The Maryland and D.C Attorneys General will file subpoenas seeking information from the IRS, the Trump Organization and multiple other entities regarding their suit accusing Trump of profiting off the presidency.  Yes! The IRS  I did not Stutter Mr. Trump.    THE IRS!|BREAKING   The Maryland and D C Attorneys General will file subpoenas seeking information from the IRS  the Trump Organization and multiple other entities regarding their suit accusing Trump of profiting off the presidency   Yes  The IRS  I did not Stutter Mr  Trump     THE IRS|-0.024999999999999994
Now we hear that the hacking of GOP email has resumed. Republicans need to stop listening to @realDonaldTrump and take this threat seriously or they will all be compromised. https://t.co/zJ3orhAj7O|Now we hear that the hacking of GOP email has resumed  Republicans need to stop listening to   and take this threat seriously or they will all be compromised|-0.3333333333333333
Predator trump: Signed a $700B military budget into law.  Predator trump: Praises himself for signing a $700B military budget into law.  Predator trump now: Is complaining about the $700B military budget he signed into law being too high and is pretending he never did it.  💩|Predator trump  Signed a  700B military budget into law   Predator trump  Praises himself for signing a  700B military budget into law   Predator trump now  Is complaining about the  700B military budget he signed into law being too high and is pretending he never did it|-0.03500000000000001
Breaking: Mueller Withheld Exculpatory Evidence from Court to Exonerate Trump – Mueller LIED to the Court! Will He Be Sent to Jail Too?  This is incredibly bad! If true, he should be immediately fired and go to Prison for a long time! I can't believe it! https://t.co/mlhsj0NVxV|Breaking  Mueller Withheld Exculpatory Evidence from Court to Exonerate Trump   Mueller LIED to the Court  Will He Be Sent to Jail Too   This is incredibly bad  If true  he should be immediately fired and go to Prison for a long time  I can t believe it|-0.12499999999999996
Is that a fact? Well, well, well.|Is that a fact  Well  well  well|0.0
Trump has no idea what the hell he is doing, and the sycophants around him refuse to clue him in.  Larry Kudlow, mister free trade, should especially be ashamed of himself!  The Dow down 700+ points! https://t.co/TgSwsHxxqB|Trump has no idea what the hell he is doing  and the sycophants around him refuse to clue him in   Larry Kudlow  mister free trade  should especially be ashamed of himself   The Dow down 700  points|0.08148148148148147
🤣🤣🤣🤣 Eric slammed him? What a fucking joke...|Eric slammed him  What a fucking joke|-0.6
In 2 days we’re going to get headlines like “Trump Looks Presidential at Bush Funeral” because he manages to sit quietly for 30 minutes without pulling a McRib out of his suit pocket|In 2 days we re going to get headlines like  Trump Looks Presidential at Bush Funeral  because he manages to sit quietly for 30 minutes without pulling a McRib out of his suit pocket|0.0
The lack of self-awareness and the quantity of self-righteousness are equally appalling. This is @cnn. https://t.co/gN2rJviUSE|The lack of self awareness and the quantity of self righteousness are equally appalling  This is|-0.35
BREAKING:  The Maryland and D.C Attorneys General will file subpoenas seeking information from the IRS, the Trump Organization and multiple other entities regarding their suit accusing Trump of profiting off the presidency.  Yes! The IRS  I did not Stutter Mr. Trump.    THE IRS!|BREAKING   The Maryland and D C Attorneys General will file subpoenas seeking information from the IRS  the Trump Organization and multiple other entities regarding their suit accusing Trump of profiting off the presidency   Yes  The IRS  I did not Stutter Mr  Trump     THE IRS|-0.024999999999999994
Trump’s latest tweets cross clear lines, experts say: Obstruction of justice and witness tampering https://t.co/fcwVVtdVPi|Trump s latest tweets cross clear lines  experts say  Obstruction of justice and witness tampering|0.19999999999999998
Trump isn't destroying the Republican party. The Republican party is destroying themselves by defending Trump.|Trump isn t destroying the Republican party  The Republican party is destroying themselves by defending Trump|-0.2
Abby Huntsman has had enough.  https://t.co/FoKdzp8ymQ|Abby Huntsman has had enough|0.0
AnnT’s KAG20 Patriot Trump Train  F/FB/RT💞 @amobienamobile1  @JodyClark16  @wwwillstand  @arealbuckman  @DPariot  @AnnThacker2  @spartans45  @twittingisit  @Thespis80  @CraigAr64  @OrenIShiKiddo  @Briteeye777  @goofballgeorge  @JamesDeLong4G  DM4🚂RIDE https://t.co/brg9zW3GQb|AnnT s KAG20 Patriot Trump Train  F FB RT                                            DM4 RIDE|0.0
The Trump Administration is committed to unleashing American innovation in all corners of our nation. These projects will stir the spirit of entrepreneurship that reinforces American growth and has ensured the strength and dynamism of the American economy. https://t.co/lLV5ItKzKB|The Trump Administration is committed to unleashing American innovation in all corners of our nation  These projects will stir the spirit of entrepreneurship that reinforces American growth and has ensured the strength and dynamism of the American economy|0.0
There's more.  There were three copies of the new NAFTA deal to sign.  During the signing ceremony, President Trump appears to sign in the wrong place on one of them.  This is the exact moment everyone realized, individually with their reactions, including Prime Minister Trudeau. https://t.co/Wd3CEtV73D|There s more   There were three copies of the new NAFTA deal to sign   During the signing ceremony  President Trump appears to sign in the wrong place on one of them   This is the exact moment everyone realized  individually with their reactions  including Prime Minister Trudeau|0.07727272727272727
The IRS brought down Al Capone. #TuesdayThoughts|The IRS brought down Al Capone|-0.15555555555555559
REPORT: Prince Charles https://t.co/2Z4TvtQm5j see there’s no motive in the first place about going to a person’s funeral but I’m sure CNN or somebody like that Will is going to say something about it against trump somehow|REPORT  Prince Charles   see there s no motive in the first place about going to a person s funeral but I m sure CNN or somebody like that Will is going to say something about it against trump somehow|0.375
TRUDEAU’S SILENT STARE is KILLING me! https://t.co/NxD6sea44d|TRUDEAU S SILENT STARE is KILLING me|0.0
Trump is clearly showing signs of dementia or some other mental health issue. He’s slurring his words, wandering off, looks pale and tired, and lives in his own reality.   I would not be surprised if he has a full blown mental breakdown in the near future.|Trump is clearly showing signs of dementia or some other mental health issue  He s slurring his words  wandering off  looks pale and tired  and lives in his own reality    I would not be surprised if he has a full blown mental breakdown in the near future|0.02863636363636363
Trump has forced the Associated Press to run headlines like this. https://t.co/8I3Wq1ly9D|Trump has forced the Associated Press to run headlines like this|-0.30000000000000004
He has no knowledge of what he is doing.|He has no knowledge of what he is doing|0.0
@idawhannadoyou How can they blame Trump for releasing the information, if they are forced to release it to beat Trump to the punch. So they admitted Manafort was part of the Russian/DOJ plot to silence Assange. Admitted a Chinese bank was funding it. Those are big reveals of information.|How can they blame Trump for releasing the information  if they are forced to release it to beat Trump to the punch  So they admitted Manafort was part of the Russian DOJ plot to silence Assange  Admitted a Chinese bank was funding it  Those are big reveals of information|-0.07500000000000001
Watch @SRuhle break down what’s next for the Russia investigation and why Michael Flynn’s role matters big time to President Trump.   https://t.co/SDlkIZzBQG|Watch   break down what s next for the Russia investigation and why Michael Flynn s role matters big time to President Trump|-0.051851851851851864
NO sleap in 3 DAYS! Its MUELLERs fault! Everyone pleeding GUILTY! MY National Security advisor Michael Flynn, my campaign chairman Paul Manafort &amp; my lawyer Michael Cohen! Mueller is preparing NEW charges! Don Jr/ Eric Trump: STAY QUIET or LIE to get your pardon! #TuesdayThoughts|NO sleap in 3 DAYS  Its MUELLERs fault  Everyone pleeding GUILTY  MY National Security advisor Michael Flynn  my campaign chairman Paul Manafort  amp  my lawyer Michael Cohen  Mueller is preparing NEW charges  Don Jr  Eric Trump  STAY QUIET or LIE to get your pardon|-0.12121212121212122
Before sh*t hits the fan let’s not forget the Omarosa's and the Kanye’s that tried playing BOTH sides. It’s like supporting Colin Kaepernick and Donald Trump at the SAME TIME! FOH! #Flynn|Before sh t hits the fan let s not forget the Omarosa s and the Kanye s that tried playing BOTH sides  It s like supporting Colin Kaepernick and Donald Trump at the SAME TIME  FOH|0.125
Yale psychiatrist explains how devotion to Trump is based on emotional patterns most people grow out of by age 5.  Millions of Americans refuse to abandon Trump regardless of the chaotic news cycle, many trusting him more than their own friends &amp; family.  https://t.co/sXh7I9zXcG https://t.co/wyW6dF1dBM|Yale psychiatrist explains how devotion to Trump is based on emotional patterns most people grow out of by age 5   Millions of Americans refuse to abandon Trump regardless of the chaotic news cycle  many trusting him more than their own friends  amp  family|0.42000000000000004
This is another Omidyar-funded outfit...$650,000 in 2017.   Former GOP Rep. Bob Inglis, who wants Trump impeached, is a board member.  https://t.co/74Ep4IOG9u  https://t.co/G5SvgHrpyv https://t.co/lOxmrIqN24|This is another Omidyar funded outfit    650 000 in 2017    Former GOP Rep  Bob Inglis  who wants Trump impeached  is a board member|0.1
When adults take over Congress in January, the House really needs to investigate this 👇👇 https://t.co/ioev7ybNbY #Kushner #Khashoggi #Trump|When adults take over Congress in January  the House really needs to investigate this|0.2
Secret business dealings with the Russians. Boasts of millions from the Saudis. Americans deserve to know our President is acting in our interest, not his own financial self-interest, or because he has been compromised.   Now, with a new majority in the House, we can find out. https://t.co/fqzihxWrv4|Secret business dealings with the Russians  Boasts of millions from the Saudis  Americans deserve to know our President is acting in our interest  not his own financial self interest  or because he has been compromised    Now  with a new majority in the House  we can find out|0.06727272727272726
Republican defends Trump over Saudi Arabia appeasement: 'Journalists are killed all the time' https://t.co/G3aMmZa4Hi|Republican defends Trump over Saudi Arabia appeasement   Journalists are killed all the time|-0.2
Elton John: Rocket man Billy Joel: Piano man Beatles: Nowhere man Donald Trump: Tariff man Robert Mueller: You’re fucked, man|Elton John  Rocket man Billy Joel  Piano man Beatles  Nowhere man Donald Trump  Tariff man Robert Mueller  You re fucked  man|-0.6
Your daily reminder:   Whitaker is a Trump lackey, installed as acting Attorney General specifically to obstruct the Mueller investigation. Call your Senators &amp; Representatives and demand #WhitakerMustRecuse!   https://t.co/7G78ovI1XG|Your daily reminder    Whitaker is a Trump lackey  installed as acting Attorney General specifically to obstruct the Mueller investigation  Call your Senators  amp  Representatives and demand|0.016666666666666673
"\"The subpoenas target more than 30 Trump-linked private entities and the federal agency that oversees the lease for Trump's D.C. hotel, plus multiple federal agencies.\" https://t.co/uGeeFQTJCn"|The subpoenas target more than 30 Trump linked private entities and the federal agency that oversees the lease for Trump s D C  hotel  plus multiple federal agencies|0.16666666666666666
"Fast! Trump has gone from \"it's an incredible deal\" to \"seeing whether or not a REAL deal with China is actually possible,\" and \"China will be buying massive amounts of product from us, including agricultural,\" to \"China is supposed to start buying Agricultural product.\" https://t.co/WPa8mSYsjc"|Fast  Trump has gone from  it s an incredible deal  to  seeing whether or not a REAL deal with China is actually possible   and  China will be buying massive amounts of product from us  including agricultural   to  China is supposed to start buying Agricultural product|0.2
Somewhere on Martha’s Vineyard, Alan Dershowitz pens a thank-you note to buddy Jeffery Epstein, for keeping his name out of a public hearing about sexually abusing underage girls, before turning to his full time job of being a character witness for Trump. https://t.co/27WrVGKf38|Somewhere on Martha s Vineyard  Alan Dershowitz pens a thank you note to buddy Jeffery Epstein  for keeping his name out of a public hearing about sexually abusing underage girls  before turning to his full time job of being a character witness for Trump|0.2833333333333333
Every time I see another bad take about how trump/Putin gay jokes aren’t homophobic, I’m just gonna share actual lgtbq stories, especially from Russia.   Organizers of an lgtbq event got death threats and had an acid like substance thrown on them.   But defend ur gay jokes. 😒 https://t.co/hIj4JVtivX|Every time I see another bad take about how trump Putin gay jokes aren t homophobic  I m just gonna share actual lgtbq stories  especially from Russia    Organizers of an lgtbq event got death threats and had an acid like substance thrown on them    But defend ur gay jokes|0.026666666666666707
Trust me if Trump was racist or Hitler like/ i wouldn’t support him|Trust me if Trump was racist or Hitler like  i wouldn t support him|0.0
Victims of War, and Now Victims of the Trump Administration   via @NYTimes https://t.co/Rc0pBGMoV1|Victims of War  and Now Victims of the Trump Administration   via|0.0
@greatervince @shikkeroni @AdequateEmily The media absolutely promoted Trump, with uncritically sharing his message, and all that. Sacha Baron Cohen actually makes the effort to show the people he's going after in a negative light, so he's the only one who's being responsible with his platform. Ben Shapiro has now been|The media absolutely promoted Trump  with uncritically sharing his message  and all that  Sacha Baron Cohen actually makes the effort to show the people he s going after in a negative light  so he s the only one who s being responsible with his platform  Ben Shapiro has now been|0.07142857142857142
#Breaking: The AGs for DC &amp; Maryland plan to subpoena The Trump Organization, IRS, plus dozens of other entities today in their case accusing Donald Trump of profiting off the presidency https://t.co/XPWzqaFX3v #EmolumentsClause|The AGs for DC  amp  Maryland plan to subpoena The Trump Organization  IRS  plus dozens of other entities today in their case accusing Donald Trump of profiting off the presidency|-0.125
Also  of note is that Pompeo, who was the former CIA director, has basically thrown his former agency under the bus l. #khashoggi https://t.co/trGIwtISEZ|Also  of note is that Pompeo  who was the former CIA director  has basically thrown his former agency under the bus l|0.0
@NolteNC @ChatByCC 6. Jan. 20, 2017:  CNN claimed Nancy Sinatra was “not happy” at her father’s song being used at Trump’s inauguration. Sinatra responded, “That’s not true. I never said that. Why do you lie, CNN?…Actually I’m wishing him the best.”|6  Jan  20  2017   CNN claimed Nancy Sinatra was  not happy  at her father s song being used at Trump s inauguration  Sinatra responded   That s not true  I never said that  Why do you lie  CNN  Actually I m wishing him the best|0.10625000000000001
#GeorgeBush STFU!  We didn't hear a peep out of you for 8 years while Obama destroyed the country and he didn't call Islam peaceful👉Go draw cartoons!  @Potus is #WINNING #draintheswamp #MAGA Stock market at highest  📈 ever Sealing the borders GDP rising📈 Restoring Pride 🇺🇸 https://t.co/ppKhqdD4Dn|STFU   We didn t hear a peep out of you for 8 years while Obama destroyed the country and he didn t call Islam peaceful Go draw cartoons     is       Stock market at highest    ever Sealing the borders GDP rising  Restoring Pride|0.25
Breaking: Mueller Withheld Exculpatory Evidence from Court to Exonerate Trump - Mueller LIED to the Court!... Will He Be Sent to Jail Too? https://t.co/C39L7zCk5r via @gatewaypundit|Breaking  Mueller Withheld Exculpatory Evidence from Court to Exonerate Trump   Mueller LIED to the Court     Will He Be Sent to Jail Too    via|-0.1
Sign up today folks! Don’t go without health insurance!|Sign up today folks  Don t go without health insurance|0.0
I can tell you right now they are not chanting that 😂😂😂|I can tell you right now they are not chanting that|0.2857142857142857
Is it Just for show|Is it Just for show|0.0
Let me correct myself...@GenFlynn does not need to be pardoned. He’s done nothing wrong. AG Whitaker needs to immediately dismiss the charges against @GenFlynn and end this fiasco. Why should the Flynn family be forced to spend Christmas with this hanging over Gen Mike’s head? https://t.co/WSEi0NNAuK|Let me correct myself     does not need to be pardoned  He s done nothing wrong  AG Whitaker needs to immediately dismiss the charges against   and end this fiasco  Why should the Flynn family be forced to spend Christmas with this hanging over Gen Mike s head|-0.4
Trump'sill-advised comments on China -- first overhyping the 90 day agreement on tariffs, then angrily retracting them a day later -- are evidence of a man who simply doesn't understand leadership. Because he has so little self-control, he is one of the world's worst negotiators.|Trump sill advised comments on China    first overhyping the 90 day agreement on tariffs  then angrily retracting them a day later    are evidence of a man who simply doesn t understand leadership  Because he has so little self control  he is one of the world s worst negotiators|-0.23958333333333334
@FloridaJFuller @letters4trump45 He actually thinks he could have beaten Trump ....🤔|He actually thinks he could have beaten Trump|0.0
Trump Admits His “Incredible” Deal with China Is Bullshit - Vanity Fair https://t.co/khzaxMZuCr|Trump Admits His  Incredible  Deal with China Is Bullshit   Vanity Fair|0.8
Epstein got 18 months with work release for abusing hundreds of girls.  Meanwhile a woman accidentally commits voter fraud and gets a decade.  America. https://t.co/iN0zsaMN7P|Epstein got 18 months with work release for abusing hundreds of girls   Meanwhile a woman accidentally commits voter fraud and gets a decade   America|0.0
@AdamSchiff we all know you belong behind bars for being the senate intel leaker. Raking Leaks to CNN for bribes. Then being part of spygate spying on Trump and his campaign. You broke more laws. Stop the lies on buying a place for a tower in Russia. At least he did sell them uranium|we all know you belong behind bars for being the senate intel leaker  Raking Leaks to CNN for bribes  Then being part of spygate spying on Trump and his campaign  You broke more laws  Stop the lies on buying a place for a tower in Russia  At least he did sell them uranium|-0.06666666666666667
Mohammed bin Salman ordered the murder of Jamal Khashoggi.  Democratic AND Republican Senators agree on this.  The fact @realDonaldTrump does not, tells you everything you need to know.  To this President, personal financial gain trumps American values. https://t.co/I7nA9vXWn7|Mohammed bin Salman ordered the murder of Jamal Khashoggi   Democratic AND Republican Senators agree on this   The fact   does not  tells you everything you need to know   To this President  personal financial gain trumps American values|0.0
"After he got his CIA briefing on MBS-Khashoggi, Trump said, \"Maybe he did, maybe he didn't.\"  After Republican senators got their CIA briefing, they said there was \"a smoking saw\" and crown prince clearly was guilty -- via @shaneharris &amp; @karoun  https://t.co/ESLk36y8bJ"|After he got his CIA briefing on MBS Khashoggi  Trump said   Maybe he did  maybe he didn t    After Republican senators got their CIA briefing  they said there was  a smoking saw  and crown prince clearly was guilty    via    amp|-0.19999999999999998
BREAKING: The attorneys general of the District of Columbia and Maryland plan to file subpoenas against The Trump Organization, other entities and some federal agencies for records in their case accusing Donald Trump of profiting off the presidency. https://t.co/I2CsfflXYR|BREAKING  The attorneys general of the District of Columbia and Maryland plan to file subpoenas against The Trump Organization  other entities and some federal agencies for records in their case accusing Donald Trump of profiting off the presidency|-0.03749999999999999
There's more.  There were three copies of the new NAFTA deal to sign.  During the signing ceremony, President Trump appears to sign in the wrong place on one of them.  This is the exact moment everyone realized, individually with their reactions, including Prime Minister Trudeau. https://t.co/Wd3CEtV73D|There s more   There were three copies of the new NAFTA deal to sign   During the signing ceremony  President Trump appears to sign in the wrong place on one of them   This is the exact moment everyone realized  individually with their reactions  including Prime Minister Trudeau|0.07727272727272727
The headlong rush to find the Trumps guilty continues, and results in some very sloppy reporting. It shows that bias can make you stupid.  https://t.co/MpZmyCQvO0|The headlong rush to find the Trumps guilty continues  and results in some very sloppy reporting  It shows that bias can make you stupid|-0.6138888888888889
@guitarteddy1 @realDonaldTrump @VP Melania Trump stripped Naked and posed hugged up with another woman in bed. She posed Nude for magazines and more. Now she has a son. Later in his young life at school young boys with see those Nude photos and he will be SHAMED. Sad ! She is not a role model for Children.|Melania Trump stripped Naked and posed hugged up with another woman in bed  She posed Nude for magazines and more  Now she has a son  Later in his young life at school young boys with see those Nude photos and he will be SHAMED  Sad   She is not a role model for Children|0.033333333333333326
BREAKING:  The Maryland and D.C Attorneys General will file subpoenas seeking information from the IRS, the Trump Organization and multiple other entities regarding their suit accusing Trump of profiting off the presidency.  Yes! The IRS  I did not Stutter Mr. Trump.    THE IRS!|BREAKING   The Maryland and D C Attorneys General will file subpoenas seeking information from the IRS  the Trump Organization and multiple other entities regarding their suit accusing Trump of profiting off the presidency   Yes  The IRS  I did not Stutter Mr  Trump     THE IRS|-0.024999999999999994
BREAKING: The attorneys general of the District of Columbia and Maryland plan to file subpoenas against The Trump Organization, other entities and some federal agencies for records in their case accusing Donald Trump of profiting off the presidency. https://t.co/I2CsfflXYR|BREAKING  The attorneys general of the District of Columbia and Maryland plan to file subpoenas against The Trump Organization  other entities and some federal agencies for records in their case accusing Donald Trump of profiting off the presidency|-0.03749999999999999
"A new dating site called \"Righter\" will be launching this month, catering to Trump Supporters and Conservatives ONLY.   The founder, Christy Edwards Lawton, says she will sue any Liberals who try to join the site.  HAHAHAHAHAHAHAHA!  Try It Ms. Lawton!"|A new dating site called  Righter  will be launching this month  catering to Trump Supporters and Conservatives ONLY    The founder  Christy Edwards Lawton  says she will sue any Liberals who try to join the site   HAHAHAHAHAHAHAHA   Try It Ms  Lawton|0.06818181818181818
